transaction_id,date,customer_id,customer_name,region,category,product,units,unit_price,discount_pct,revenue,cost,status,sales_rep
T037,2023-04-22,C412,Zeta Corp,East,Furniture,Conference Table,1,1200.00,5,1140.00,720.00,Won,Priya Sharma
T038,2023-04-25,C055,Delta Co,West,Software,Analytics Suite,1,4500.00,0,4500.00,500.00,Won,Tom Walsh
T039,2023-04-28,C301,Epsilon LLC,North,Electronics,Laptop Pro,2,1200.00,10,2160.00,1600.00,Lost,Sarah Chen
T040,2023-04-30,C630,Theta Inc,North,Furniture,Office Chair,6,180.00,0,1080.00,540.00,Won,Sarah Chen
T041,2023-05-03,C108,Beta Ltd,South,Software,CRM Pro,1,3600.00,0,3600.00,360.00,Won,James Okafor
T042,2023-05-06,C042,Acme Corp,North,Electronics,Monitor 27",3,350.00,5,997.50,630.00,Won,Sarah Chen
T043,2023-05-09,C217,Gamma Inc,East,Software,Analytics Suite,4,4500.00,20,14400.00,2000.00,Won,Priya Sharma
T044,2023-05-12,C520,Eta Partners,South,Furniture,Standing Desk,1,650.00,0,650.00,390.00,Won,James Okafor
T045,2023-05-15,C412,Zeta Corp,East,Electronics,Keyboard,30,85.00,10,2295.00,1020.00,Won,Priya Sharma
T046,2023-05-18,C055,Delta Co,West,Electronics,Laptop Pro,1,1200.00,0,1200.00,800.00,Won,Tom Walsh
T047,2023-05-21,C301,Epsilon LLC,North,Software,CRM Basic,4,1200.00,5,4560.00,480.00,Won,Sarah Chen
T048,2023-05-24,C630,Theta Inc,North,Furniture,Conference Table,1,1200.00,0,1200.00,720.00,Won,Sarah Chen
T049,2023-05-27,C108,Beta Ltd,South,Electronics,Monitor 27",3,350.00,0,1050.00,630.00,Won,James Okafor
T050,2023-05-30,C042,Acme Corp,North,Software,Analytics Suite,1,4500.00,10,4050.00,500.00,Won,Sarah Chen
T051,2023-06-02,C217,Gamma Inc,East,Electronics,Laptop Pro,2,1200.00,5,2280.00,1600.00,Won,Priya Sharma
T052,2023-06-05,C520,Eta Partners,South,Software,CRM Pro,1,3600.00,0,3600.00,360.00,Won,James Okafor
T053,2023-06-08,C412,Zeta Corp,East,Furniture,Office Chair,12,180.00,15,1836.00,1080.00,Won,Priya Sharma
T054,2023-06-11,C055,Delta Co,West,Software,Analytics Suite,2,4500.00,10,8100.00,1000.00,Won,Tom Walsh
T055,2023-06-14,C301,Epsilon LLC,North,Electronics,Keyboard,20,85.00,0,1700.00,680.00,Won,Sarah Chen
T056,2023-06-17,C630,Theta Inc,North,Electronics,Monitor 27",2,350.00,10,630.00,420.00,Lost,Sarah Chen
T057,2023-06-20,C108,Beta Ltd,South,Software,CRM Basic,5,1200.00,10,5400.00,600.00,Won,James Okafor
T058,2023-06-23,C042,Acme Corp,North,Furniture,Standing Desk,2,650.00,5,1235.00,780.00,Won,Sarah Chen
T059,2023-06-26,C217,Gamma Inc,East,Software,CRM Pro,1,3600.00,0,3600.00,360.00,Won,Priya Sharma
T060,2023-06-29,C520,Eta Partners,South,Electronics,Laptop Pro,2,1200.00,10,2160.00,1600.00,Won,James Okafor
T061,2023-07-03,C412,Zeta Corp,East,Furniture,Conference Table,3,1200.00,10,3240.00,2160.00,Won,Priya Sharma
T062,2023-07-06,C055,Delta Co,West,Software,Analytics Suite,1,4500.00,0,4500.00,500.00,Won,Tom Walsh
T063,2023-07-09,C301,Epsilon LLC,North,Electronics,Laptop Pro,3,1200.00,15,3060.00,2400.00,Won,Sarah Chen
T064,2023-07-12,C630,Theta Inc,North,Software,CRM Pro,2,3600.00,10,6480.00,720.00,Won,Sarah Chen
T065,2023-07-15,C108,Beta Ltd,South,Furniture,Office Chair,4,180.00,0,720.00,360.00,Won,James Okafor
T066,2023-07-18,C042,Acme Corp,North,Electronics,Monitor 27",4,350.00,5,1330.00,840.00,Won,Sarah Chen
T067,2023-07-21,C217,Gamma Inc,East,Software,CRM Basic,6,1200.00,10,6480.00,720.00,Won,Priya Sharma
T068,2023-07-24,C520,Eta Partners,South,Electronics,Keyboard,15,85.00,0,1275.00,510.00,Won,James Okafor
T069,2023-07-27,C412,Zeta Corp,East,Software,Analytics Suite,2,4500.00,15,7650.00,1000.00,Won,Priya Sharma
T070,2023-07-30,C055,Delta Co,West,Furniture,Standing Desk,2,650.00,0,1300.00,780.00,Won,Tom Walsh
T071,2023-08-02,C301,Epsilon LLC,North,Electronics,Laptop Pro,1,1200.00,0,1200.00,800.00,Won,Sarah Chen
T072,2023-08-05,C630,Theta Inc,North,Software,Analytics Suite,3,4500.00,20,10800.00,1500.00,Won,Sarah Chen
T073,2023-08-08,C108,Beta Ltd,South,Furniture,Conference Table,1,1200.00,5,1140.00,720.00,Won,James Okafor
T074,2023-08-11,C042,Acme Corp,North,Software,CRM Basic,2,1200.00,0,2400.00,240.00,Won,Sarah Chen
T075,2023-08-14,C217,Gamma Inc,East,Electronics,Monitor 27",6,350.00,10,1890.00,1260.00,Won,Priya Sharma
T076,2023-08-17,C520,Eta Partners,South,Software,CRM Pro,2,3600.00,5,6840.00,720.00,Won,James Okafor
T077,2023-08-20,C412,Zeta Corp,East,Electronics,Laptop Pro,5,1200.00,20,4800.00,4000.00,Won,Priya Sharma
T078,2023-08-23,C055,Delta Co,West,Furniture,Office Chair,3,180.00,0,540.00,270.00,Won,Tom Walsh
T079,2023-08-26,C301,Epsilon LLC,North,Software,CRM Pro,1,3600.00,10,3240.00,360.00,Lost,Sarah Chen
T080,2023-08-29,C630,Theta Inc,North,Electronics,Keyboard,25,85.00,5,2018.75,850.00,Won,Sarah Chen
T081,2023-09-01,C108,Beta Ltd,South,Software,Analytics Suite,2,4500.00,10,8100.00,1000.00,Won,James Okafor
T082,2023-09-04,C042,Acme Corp,North,Furniture,Standing Desk,3,650.00,10,1755.00,1170.00,Won,Sarah Chen
T083,2023-09-07,C217,Gamma Inc,East,Electronics,Laptop Pro,3,1200.00,10,3240.00,2400.00,Won,Priya Sharma
T084,2023-09-10,C520,Eta Partners,South,Software,CRM Basic,4,1200.00,0,4800.00,480.00,Won,James Okafor
T085,2023-09-13,C412,Zeta Corp,East,Furniture,Conference Table,2,1200.00,0,2400.00,1440.00,Won,Priya Sharma
T086,2023-09-16,C055,Delta Co,West,Electronics,Monitor 27",2,350.00,0,700.00,420.00,Won,Tom Walsh
T087,2023-09-19,C301,Epsilon LLC,North,Software,Analytics Suite,1,4500.00,5,4275.00,500.00,Won,Sarah Chen
T088,2023-09-22,C630,Theta Inc,North,Furniture,Office Chair,4,180.00,10,648.00,360.00,Won,Sarah Chen
T089,2023-09-25,C108,Beta Ltd,South,Electronics,Laptop Pro,2,1200.00,0,2400.00,1600.00,Won,James Okafor
T090,2023-09-28,C042,Acme Corp,North,Software,CRM Pro,3,3600.00,15,9180.00,1080.00,Won,Sarah Chen
T091,2023-10-01,C217,Gamma Inc,East,Electronics,Keyboard,20,85.00,5,1615.00,680.00,Won,Priya Sharma
T092,2023-10-04,C520,Eta Partners,South,Furniture,Standing Desk,4,650.00,10,2340.00,1560.00,Won,James Okafor
T093,2023-10-07,C412,Zeta Corp,East,Software,Analytics Suite,3,4500.00,15,11475.00,1500.00,Won,Priya Sharma
T094,2023-10-10,C055,Delta Co,West,Electronics,Laptop Pro,2,1200.00,10,2160.00,1600.00,Won,Tom Walsh
T095,2023-10-13,C301,Epsilon LLC,North,Furniture,Conference Table,1,1200.00,0,1200.00,720.00,Won,Sarah Chen
T096,2023-10-16,C630,Theta Inc,North,Software,CRM Basic,3,1200.00,5,3420.00,360.00,Won,Sarah Chen
T097,2023-10-19,C108,Beta Ltd,South,Electronics,Monitor 27",4,350.00,10,1260.00,840.00,Won,James Okafor
T098,2023-10-22,C042,Acme Corp,North,Furniture,Office Chair,7,180.00,0,1260.00,630.00,Won,Sarah Chen
T099,2023-10-25,C217,Gamma Inc,East,Software,CRM Pro,2,3600.00,10,6480.00,720.00,Won,Priya Sharma
T100,2023-10-28,C520,Eta Partners,South,Electronics,Laptop Pro,3,1200.00,5,3420.00,2400.00,Lost,James Okafor
T101,2023-11-01,C412,Zeta Corp,East,Software,CRM Basic,5,1200.00,10,5400.00,600.00,Won,Priya Sharma
T102,2023-11-04,C055,Delta Co,West,Furniture,Standing Desk,1,650.00,0,650.00,390.00,Won,Tom Walsh
T103,2023-11-07,C301,Epsilon LLC,North,Electronics,Keyboard,30,85.00,5,2422.50,1020.00,Won,Sarah Chen
T104,2023-11-10,C630,Theta Inc,North,Software,Analytics Suite,2,4500.00,10,8100.00,1000.00,Won,Sarah Chen
T105,2023-11-13,C108,Beta Ltd,South,Furniture,Office Chair,5,180.00,10,810.00,450.00,Won,James Okafor
T106,2023-11-16,C042,Acme Corp,North,Electronics,Laptop Pro,3,1200.00,15,3060.00,2400.00,Won,Sarah Chen
T107,2023-11-19,C217,Gamma Inc,East,Furniture,Conference Table,2,1200.00,5,2280.00,1440.00,Won,Priya Sharma
T108,2023-11-22,C520,Eta Partners,South,Software,CRM Pro,1,3600.00,0,3600.00,360.00,Won,James Okafor
T109,2023-11-25,C412,Zeta Corp,East,Electronics,Monitor 27",5,350.00,10,1575.00,1050.00,Won,Priya Sharma
T110,2023-11-28,C055,Delta Co,West,Software,Analytics Suite,2,4500.00,20,7200.00,1000.00,Won,Tom Walsh
T111,2023-12-01,C301,Epsilon LLC,North,Electronics,Laptop Pro,4,1200.00,10,4320.00,3200.00,Won,Sarah Chen
T112,2023-12-04,C630,Theta Inc,North,Furniture,Standing Desk,2,650.00,5,1235.00,780.00,Won,Sarah Chen
T113,2023-12-07,C108,Beta Ltd,South,Software,CRM Basic,6,1200.00,15,6120.00,720.00,Won,James Okafor
T114,2023-12-10,C042,Acme Corp,North,Electronics,Keyboard,20,85.00,0,1700.00,680.00,Won,Sarah Chen
T115,2023-12-13,C217,Gamma Inc,East,Software,Analytics Suite,5,4500.00,20,18000.00,2500.00,Won,Priya Sharma
T116,2023-12-16,C520,Eta Partners,South,Furniture,Office Chair,6,180.00,10,972.00,540.00,Won,James Okafor
T117,2023-12-19,C412,Zeta Corp,East,Electronics,Laptop Pro,4,1200.00,15,4080.00,3200.00,Won,Priya Sharma
T118,2023-12-22,C055,Delta Co,West,Software,CRM Pro,2,3600.00,10,6480.00,720.00,Won,Tom Walsh
T119,2023-12-26,C301,Epsilon LLC,North,Furniture,Conference Table,1,1200.00,0,1200.00,720.00,Won,Sarah Chen
T120,2023-12-29,C630,Theta Inc,North,Software,Analytics Suite,1,4500.00,0,4500.00,500.00,Won,Sarah Chen
