transaction_id,date,customer_id,customer_name,region,category,product,units,list_price,discount_pct,discount_amt,pocket_price,revenue,unit_cost,total_cost,margin_pct,status,sales_rep,customer_tier,industry,year,quarter,month
T0017,2023-02-18,C002,Horizon Tech,East,Software,BI Dashboard,2,5500,6.84,752.4,5123.8,10247.6,500,1000,90.24,Won,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0018,2023-02-19,C002,Horizon Tech,East,Software,Cloud Storage 1TB,1,380,8.83,33.55,346.45,346.45,45,45,87.01,Lost,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0019,2023-02-20,C010,Stratos Media,North,Software,Analytics Suite,5,4500,20.61,4637.25,3572.55,17862.75,500,2500,86.0,Lost,Emily Foster,SMB,Media,2023,Q1,Feb
T0020,2023-02-23,C002,Horizon Tech,East,Furniture,Desk Pro,2,420,12.2,102.48,368.76,737.52,180,360,51.19,Won,Priya Sharma,Enterprise,Technology,2023,Q1,Feb
T0021,2023-02-26,C005,Cascade Retail,South,Services,Training Package,1,1800,8.23,148.14,1651.86,1651.86,400,400,75.78,Won,James Okafor,Mid-Market,Retail,2023,Q1,Feb
T0022,2023-03-01,C016,Tidal Software,South,Furniture,Office Chair,2,180,6.03,21.7,169.15,338.3,80,160,52.7,Lost,James Okafor,Mid-Market,Technology,2023,Q1,Mar
T0023,2023-03-03,C019,Coastline Hotels,West,Hardware,Laptop Pro,1,1200,2.49,29.88,1170.12,1170.12,800,800,31.63,Won,Tom Walsh,Mid-Market,Hospitality,2023,Q1,Mar
T0024,2023-03-05,C014,Quantum Devices,North,Software,Cloud Storage 1TB,10,380,9.51,361.4,343.86,3438.6,45,450,86.91,Pending,Sarah Chen,Enterprise,Technology,2023,Q1,Mar
T0025,2023-03-08,C002,Horizon Tech,East,Software,CRM Platform,10,8500,5.98,5083.0,7991.7,79917.0,600,6000,92.49,Won,Priya Sharma,Enterprise,Technology,2023,Q1,Mar
T0026,2023-03-11,C018,Ember Analytics,North,Furniture,Office Chair,2,180,22.5,81.0,139.5,279.0,80,160,42.65,Won,Emily Foster,SMB,Technology,2023,Q1,Mar
T0027,2023-03-11,C009,BlueRock Mining,West,Hardware,Headset Pro,1,220,7.15,15.73,204.27,204.27,120,120,41.25,Won,Tom Walsh,Mid-Market,Mining,2023,Q1,Mar
T0028,2023-03-12,C006,Nimbus Financial,East,Software,Analytics Suite,1,4500,9.86,443.7,4056.3,4056.3,500,500,87.67,Lost,Priya Sharma,Enterprise,Financial Services,2023,Q1,Mar
T0029,2023-03-12,C001,Apex Industries,North,Software,Analytics Suite,3,4500,8.08,1090.8,4136.4,12409.2,500,1500,87.91,Won,Sarah Chen,Enterprise,Manufacturing,2023,Q1,Mar
T0030,2023-03-13,C014,Quantum Devices,North,Software,Analytics Suite,2,4500,11.46,1031.4,3984.3,7968.6,500,1000,87.45,Won,Sarah Chen,Enterprise,Technology,2023,Q1,Mar
T0031,2023-03-15,C018,Ember Analytics,North,Hardware,Headset Pro,2,220,8.75,38.5,200.75,401.5,120,240,40.22,Lost,Emily Foster,SMB,Technology,2023,Q1,Mar
T0032,2023-03-16,C016,Tidal Software,South,Furniture,Office Chair,5,180,8.07,72.65,165.47,827.35,80,400,51.65,Won,James Okafor,Mid-Market,Technology,2023,Q1,Mar
T0033,2023-03-17,C009,BlueRock Mining,West,Software,Security Suite,1,3200,9.22,295.04,2904.96,2904.96,280,280,90.36,Won,Tom Walsh,Mid-Market,Mining,2023,Q1,Mar
T0034,2023-03-19,C006,Nimbus Financial,East,Software,CRM Platform,10,8500,10.6,9010.0,7599.0,75990.0,600,6000,92.1,Won,Priya Sharma,Enterprise,Financial Services,2023,Q1,Mar
T0035,2023-03-22,C012,Delta Aerospace,West,Services,Training Package,2,1800,27.19,978.84,1310.58,2621.16,400,800,69.48,Won,David Evans,Enterprise,Aerospace,2023,Q1,Mar
T0036,2023-03-22,C009,BlueRock Mining,West,Software,BI Dashboard,1,5500,8.11,446.05,5053.95,5053.95,500,500,90.11,Lost,Tom Walsh,Mid-Market,Mining,2023,Q1,Mar
T0037,2023-03-22,C011,Pinnacle Consulting,North,Services,Training Package,2,1800,35.71,1285.56,1157.22,2314.44,400,800,65.43,Pending,Emily Foster,Mid-Market,Professional Svcs,2023,Q1,Mar
T0038,2023-03-24,C012,Delta Aerospace,West,Services,Training Package,5,1800,7.19,647.1,1670.58,8352.9,400,2000,76.06,Won,David Evans,Enterprise,Aerospace,2023,Q1,Mar
T0039,2023-03-25,C003,Meridian Health,North,Services,Training Package,1,1800,11.75,211.5,1588.5,1588.5,400,400,74.82,Won,Sarah Chen,Enterprise,Healthcare,2023,Q1,Mar
T0040,2023-03-28,C017,Granite Automotive,West,Hardware,"Monitor 27""",1,350,25.91,90.69,259.31,259.31,210,210,19.02,Lost,David Evans,Enterprise,Automotive,2023,Q1,Mar
T0041,2023-03-29,C014,Quantum Devices,North,Software,Analytics Suite,3,4500,8.25,1113.75,4128.75,12386.25,500,1500,87.89,Won,Sarah Chen,Enterprise,Technology,2023,Q1,Mar
T0042,2023-04-06,C003,Meridian Health,North,Software,Security Suite,5,3200,10.19,1630.4,2873.92,14369.6,280,1400,90.26,Won,Sarah Chen,Enterprise,Healthcare,2023,Q2,Apr
T0043,2023-04-06,C015,Redwood Construction,South,Software,BI Dashboard,1,5500,22.46,1235.3,4264.7,4264.7,500,500,88.28,Lost,Marco Ruiz,SMB,Construction,2023,Q2,Apr
T0044,2023-04-06,C016,Tidal Software,South,Hardware,Laptop Pro,1,1200,11.2,134.4,1065.6,1065.6,800,800,24.92,Lost,James Okafor,Mid-Market,Technology,2023,Q2,Apr
T0045,2023-04-07,C018,Ember Analytics,North,Hardware,"Monitor 27""",10,350,22.35,782.3,271.77,2717.7,210,2100,22.73,Won,Emily Foster,SMB,Technology,2023,Q2,Apr
T0046,2023-04-12,C010,Stratos Media,North,Software,Mobile Device Mgmt,5,2800,31.17,4363.8,1927.24,9636.2,250,1250,87.03,Won,Emily Foster,SMB,Media,2023,Q2,Apr
T0047,2023-04-12,C003,Meridian Health,North,Software,ERP Module,2,12000,10.05,2412.0,10794.0,21588.0,1200,2400,88.88,Won,Sarah Chen,Enterprise,Healthcare,2023,Q2,Apr
T0048,2023-04-13,C015,Redwood Construction,South,Software,ERP Module,1,12000,13.56,1627.2,10372.8,10372.8,1200,1200,88.43,Won,Marco Ruiz,SMB,Construction,2023,Q2,Apr
T0049,2023-04-13,C010,Stratos Media,North,Furniture,Office Chair,1,180,19.08,34.34,145.66,145.66,80,80,45.08,Won,Emily Foster,SMB,Media,2023,Q2,Apr
T0050,2023-04-15,C013,Harbor Insurance,East,Hardware,Headset Pro,2,220,13.44,59.14,190.43,380.86,120,240,36.98,Won,Aisha Patel,Enterprise,Financial Services,2023,Q2,Apr
T0051,2023-04-17,C010,Stratos Media,North,Software,Security Suite,1,3200,14.26,456.32,2743.68,2743.68,280,280,89.79,Pending,Emily Foster,SMB,Media,2023,Q2,Apr
T0052,2023-04-19,C015,Redwood Construction,South,Software,Mobile Device Mgmt,3,2800,8.46,710.64,2563.12,7689.36,250,750,90.25,Won,Marco Ruiz,SMB,Construction,2023,Q2,Apr
T0053,2023-04-20,C002,Horizon Tech,East,Software,Analytics Suite,2,4500,14.13,1271.7,3864.15,7728.3,500,1000,87.06,Won,Priya Sharma,Enterprise,Technology,2023,Q2,Apr
T0054,2023-04-25,C001,Apex Industries,North,Software,Security Suite,3,3200,13.56,1301.76,2766.08,8298.24,280,840,89.88,Won,Sarah Chen,Enterprise,Manufacturing,2023,Q2,Apr
T0055,2023-04-26,C005,Cascade Retail,South,Software,CRM Platform,2,8500,6.52,1108.4,7945.8,15891.6,600,1200,92.45,Pending,James Okafor,Mid-Market,Retail,2023,Q2,Apr
T0056,2023-04-27,C010,Stratos Media,North,Software,Cloud Storage 1TB,1,380,19.07,72.47,307.53,307.53,45,45,85.37,Pending,Emily Foster,SMB,Media,2023,Q2,Apr
T0057,2023-04-28,C017,Granite Automotive,West,Software,CRM Platform,10,8500,21.74,18479.0,6652.1,66521.0,600,6000,90.98,Lost,David Evans,Enterprise,Automotive,2023,Q2,Apr
T0058,2023-05-05,C006,Nimbus Financial,East,Software,BI Dashboard,3,5500,3.07,506.55,5331.15,15993.45,500,1500,90.62,Won,Priya Sharma,Enterprise,Financial Services,2023,Q2,May
T0059,2023-05-09,C003,Meridian Health,North,Hardware,Headset Pro,10,220,12.45,273.9,192.61,1926.1,120,1200,37.7,Won,Sarah Chen,Enterprise,Healthcare,2023,Q2,May
T0060,2023-05-10,C002,Horizon Tech,East,Software,Cloud Storage 1TB,2,380,13.94,105.94,327.03,654.06,45,90,86.24,Lost,Priya Sharma,Enterprise,Technology,2023,Q2,May
T0061,2023-05-11,C005,Cascade Retail,South,Software,Cloud Storage 1TB,1,380,10.68,40.58,339.42,339.42,45,45,86.74,Won,James Okafor,Mid-Market,Retail,2023,Q2,May
T0062,2023-05-11,C018,Ember Analytics,North,Hardware,"Monitor 27""",3,350,38.17,400.77,216.41,649.23,210,630,2.96,Won,Emily Foster,SMB,Technology,2023,Q2,May
T0063,2023-05-13,C005,Cascade Retail,South,Services,Training Package,3,1800,5.84,315.36,1694.88,5084.64,400,1200,76.4,Won,James Okafor,Mid-Market,Retail,2023,Q2,May
T0064,2023-05-14,C011,Pinnacle Consulting,North,Software,Mobile Device Mgmt,3,2800,20.62,1732.08,2222.64,6667.92,250,750,88.75,Pending,Emily Foster,Mid-Market,Professional Svcs,2023,Q2,May
T0065,2023-05-16,C003,Meridian Health,North,Software,Cloud Storage 1TB,2,380,8.33,63.3,348.35,696.7,45,90,87.08,Won,Sarah Chen,Enterprise,Healthcare,2023,Q2,May
T0066,2023-05-16,C019,Coastline Hotels,West,Hardware,Server Rack,1,6200,11.5,713.0,5487.0,5487.0,4100,4100,25.28,Won,Tom Walsh,Mid-Market,Hospitality,2023,Q2,May
T0067,2023-05-17,C017,Granite Automotive,West,Hardware,Server Rack,1,6200,7.37,456.94,5743.06,5743.06,4100,4100,28.61,Won,David Evans,Enterprise,Automotive,2023,Q2,May
T0068,2023-05-18,C011,Pinnacle Consulting,North,Software,CRM Platform,10,8500,21.4,18190.0,6681.0,66810.0,600,6000,91.02,Won,Emily Foster,Mid-Market,Professional Svcs,2023,Q2,May
T0069,2023-05-19,C004,Solaris Energy,West,Hardware,Laptop Pro,2,1200,8.82,211.68,1094.16,2188.32,800,1600,26.88,Pending,Tom Walsh,Mid-Market,Energy,2023,Q2,May
T0070,2023-05-20,C018,Ember Analytics,North,Hardware,"Monitor 27""",5,350,30.82,539.35,242.13,1210.65,210,1050,13.27,Lost,Emily Foster,SMB,Technology,2023,Q2,May
T0071,2023-05-22,C014,Quantum Devices,North,Services,Training Package,5,1800,13.09,1178.1,1564.38,7821.9,400,2000,74.43,Won,Sarah Chen,Enterprise,Technology,2023,Q2,May
T0072,2023-05-22,C014,Quantum Devices,North,Hardware,"Monitor 27""",2,350,8.78,61.46,319.27,638.54,210,420,34.22,Lost,Sarah Chen,Enterprise,Technology,2023,Q2,May
T0073,2023-05-28,C002,Horizon Tech,East,Hardware,"Monitor 27""",10,350,4.14,144.9,335.51,3355.1,210,2100,37.41,Won,Priya Sharma,Enterprise,Technology,2023,Q2,May
T0074,2023-05-30,C007,Vertex Logistics,South,Software,ERP Module,3,12000,3.59,1292.4,11569.2,34707.6,1200,3600,89.63,Won,Marco Ruiz,Mid-Market,Logistics,2023,Q2,May
T0075,2023-06-02,C010,Stratos Media,North,Hardware,Headset Pro,2,220,26.82,118.0,161.0,322.0,120,240,25.47,Won,Emily Foster,SMB,Media,2023,Q2,Jun
T0076,2023-06-06,C013,Harbor Insurance,East,Hardware,Network Switch,1,950,6.67,63.36,886.63,886.63,540,540,39.1,Won,Aisha Patel,Enterprise,Financial Services,2023,Q2,Jun
T0077,2023-06-12,C016,Tidal Software,South,Hardware,Laptop Pro,1,1200,13.4,160.8,1039.2,1039.2,800,800,23.02,Won,James Okafor,Mid-Market,Technology,2023,Q2,Jun
T0078,2023-06-13,C017,Granite Automotive,West,Hardware,Server Rack,1,6200,8.1,502.2,5697.8,5697.8,4100,4100,28.04,Won,David Evans,Enterprise,Automotive,2023,Q2,Jun
T0079,2023-06-14,C003,Meridian Health,North,Hardware,Server Rack,3,6200,5.05,939.3,5886.9,17660.7,4100,12300,30.35,Won,Sarah Chen,Enterprise,Healthcare,2023,Q2,Jun
T0080,2023-06-15,C004,Solaris Energy,West,Software,Cloud Storage 1TB,1,380,5.91,22.46,357.54,357.54,45,45,87.41,Won,Tom Walsh,Mid-Market,Energy,2023,Q2,Jun
T0081,2023-06-17,C006,Nimbus Financial,East,Software,Security Suite,1,3200,6.9,220.8,2979.2,2979.2,280,280,90.6,Lost,Priya Sharma,Enterprise,Financial Services,2023,Q2,Jun
T0082,2023-06-19,C005,Cascade Retail,South,Furniture,Desk Pro,10,420,0.0,0.0,420.0,4200.0,180,1800,57.14,Pending,James Okafor,Mid-Market,Retail,2023,Q2,Jun
T0083,2023-06-22,C011,Pinnacle Consulting,North,Software,CRM Platform,10,8500,19.91,16923.5,6807.65,68076.5,600,6000,91.19,Won,Emily Foster,Mid-Market,Professional Svcs,2023,Q2,Jun
T0084,2023-06-24,C019,Coastline Hotels,West,Furniture,Office Chair,1,180,13.81,24.86,155.14,155.14,80,80,48.43,Won,Tom Walsh,Mid-Market,Hospitality,2023,Q2,Jun
T0085,2023-06-26,C020,Polar Biotech,East,Software,CRM Platform,10,8500,8.67,7369.5,7763.05,77630.5,600,6000,92.27,Won,Aisha Patel,Enterprise,Healthcare,2023,Q2,Jun
T0086,2023-07-01,C020,Polar Biotech,East,Hardware,Headset Pro,1,220,10.63,23.39,196.61,196.61,120,120,38.97,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Jul
T0087,2023-07-08,C016,Tidal Software,South,Hardware,Laptop Pro,1,1200,3.98,47.76,1152.24,1152.24,800,800,30.57,Won,James Okafor,Mid-Market,Technology,2023,Q3,Jul
T0088,2023-07-15,C011,Pinnacle Consulting,North,Furniture,Desk Pro,1,420,33.98,142.72,277.28,277.28,180,180,35.08,Won,Emily Foster,Mid-Market,Professional Svcs,2023,Q3,Jul
T0089,2023-07-16,C010,Stratos Media,North,Furniture,Desk Pro,5,420,31.6,663.6,287.28,1436.4,180,900,37.34,Won,Emily Foster,SMB,Media,2023,Q3,Jul
T0090,2023-07-18,C008,Orion Pharma,East,Software,Cloud Storage 1TB,2,380,5.34,40.58,359.71,719.42,45,90,87.49,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Jul
T0091,2023-07-20,C001,Apex Industries,North,Software,CRM Platform,5,8500,10.65,4526.25,7594.75,37973.75,600,3000,92.1,Won,Sarah Chen,Enterprise,Manufacturing,2023,Q3,Jul
T0092,2023-07-22,C005,Cascade Retail,South,Furniture,Office Chair,1,180,5.93,10.67,169.33,169.33,80,80,52.75,Won,James Okafor,Mid-Market,Retail,2023,Q3,Jul
T0093,2023-07-24,C002,Horizon Tech,East,Software,CRM Platform,2,8500,6.66,1132.2,7933.9,15867.8,600,1200,92.44,Won,Priya Sharma,Enterprise,Technology,2023,Q3,Jul
T0094,2023-07-28,C004,Solaris Energy,West,Furniture,Office Chair,1,180,4.12,7.42,172.58,172.58,80,80,53.64,Won,Tom Walsh,Mid-Market,Energy,2023,Q3,Jul
T0095,2023-07-28,C018,Ember Analytics,North,Hardware,Network Switch,5,950,18.48,877.8,774.44,3872.2,540,2700,30.27,Won,Emily Foster,SMB,Technology,2023,Q3,Jul
T0096,2023-07-30,C018,Ember Analytics,North,Hardware,"Monitor 27""",1,350,29.48,103.18,246.82,246.82,210,210,14.92,Won,Emily Foster,SMB,Technology,2023,Q3,Jul
T0097,2023-07-31,C007,Vertex Logistics,South,Hardware,Laptop Pro,5,1200,3.82,229.2,1154.16,5770.8,800,4000,30.69,Won,Marco Ruiz,Mid-Market,Logistics,2023,Q3,Jul
T0098,2023-08-04,C013,Harbor Insurance,East,Software,Cloud Storage 1TB,1,380,0.25,0.95,379.05,379.05,45,45,88.13,Won,Aisha Patel,Enterprise,Financial Services,2023,Q3,Aug
T0099,2023-08-07,C008,Orion Pharma,East,Hardware,"Monitor 27""",5,350,12.76,223.3,305.34,1526.7,210,1050,31.22,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Aug
T0100,2023-08-08,C002,Horizon Tech,East,Software,Mobile Device Mgmt,3,2800,10.66,895.44,2501.52,7504.56,250,750,90.01,Won,Priya Sharma,Enterprise,Technology,2023,Q3,Aug
T0101,2023-08-08,C017,Granite Automotive,West,Hardware,Laptop Pro,5,1200,21.93,1315.8,936.84,4684.2,800,4000,14.61,Won,David Evans,Enterprise,Automotive,2023,Q3,Aug
T0102,2023-08-08,C004,Solaris Energy,West,Software,CRM Platform,2,8500,8.42,1431.4,7784.3,15568.6,600,1200,92.29,Lost,Tom Walsh,Mid-Market,Energy,2023,Q3,Aug
T0103,2023-08-12,C001,Apex Industries,North,Hardware,Network Switch,2,950,6.0,114.0,893.0,1786.0,540,1080,39.53,Lost,Sarah Chen,Enterprise,Manufacturing,2023,Q3,Aug
T0104,2023-08-19,C020,Polar Biotech,East,Software,ERP Module,1,12000,10.78,1293.6,10706.4,10706.4,1200,1200,88.79,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Aug
T0105,2023-08-20,C010,Stratos Media,North,Hardware,Headset Pro,3,220,24.63,162.57,165.81,497.43,120,360,27.63,Won,Emily Foster,SMB,Media,2023,Q3,Aug
T0106,2023-08-23,C002,Horizon Tech,East,Services,Training Package,5,1800,7.47,672.3,1665.54,8327.7,400,2000,75.98,Won,Priya Sharma,Enterprise,Technology,2023,Q3,Aug
T0107,2023-08-25,C014,Quantum Devices,North,Hardware,Headset Pro,3,220,5.37,35.43,208.19,624.57,120,360,42.36,Won,Sarah Chen,Enterprise,Technology,2023,Q3,Aug
T0108,2023-08-25,C001,Apex Industries,North,Hardware,Network Switch,1,950,6.67,63.36,886.63,886.63,540,540,39.1,Lost,Sarah Chen,Enterprise,Manufacturing,2023,Q3,Aug
T0109,2023-08-28,C013,Harbor Insurance,East,Software,Mobile Device Mgmt,3,2800,9.68,813.12,2528.96,7586.88,250,750,90.11,Won,Aisha Patel,Enterprise,Financial Services,2023,Q3,Aug
T0110,2023-08-31,C008,Orion Pharma,East,Software,Mobile Device Mgmt,3,2800,1.92,161.28,2746.24,8238.72,250,750,90.9,Lost,Aisha Patel,Enterprise,Healthcare,2023,Q3,Aug
T0111,2023-09-01,C020,Polar Biotech,East,Software,BI Dashboard,1,5500,7.78,427.9,5072.1,5072.1,500,500,90.14,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Sep
T0112,2023-09-02,C019,Coastline Hotels,West,Software,Cloud Storage 1TB,3,380,10.48,119.46,340.18,1020.54,45,135,86.77,Lost,Tom Walsh,Mid-Market,Hospitality,2023,Q3,Sep
T0113,2023-09-02,C008,Orion Pharma,East,Furniture,Office Chair,1,180,2.35,4.23,175.77,175.77,80,80,54.49,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Sep
T0114,2023-09-02,C018,Ember Analytics,North,Hardware,Network Switch,10,950,16.21,1540.0,796.0,7960.0,540,5400,32.16,Pending,Emily Foster,SMB,Technology,2023,Q3,Sep
T0115,2023-09-02,C017,Granite Automotive,West,Hardware,Network Switch,1,950,16.91,160.65,789.36,789.36,540,540,31.59,Won,David Evans,Enterprise,Automotive,2023,Q3,Sep
T0116,2023-09-04,C002,Horizon Tech,East,Software,BI Dashboard,5,5500,0.96,264.0,5447.2,27236.0,500,2500,90.82,Pending,Priya Sharma,Enterprise,Technology,2023,Q3,Sep
T0117,2023-09-06,C018,Ember Analytics,North,Hardware,Headset Pro,2,220,28.3,124.52,157.74,315.48,120,240,23.93,Won,Emily Foster,SMB,Technology,2023,Q3,Sep
T0118,2023-09-07,C009,BlueRock Mining,West,Software,ERP Module,2,12000,8.83,2119.2,10940.4,21880.8,1200,2400,89.03,Pending,Tom Walsh,Mid-Market,Mining,2023,Q3,Sep
T0119,2023-09-10,C009,BlueRock Mining,West,Software,Security Suite,10,3200,6.08,1945.6,3005.44,30054.4,280,2800,90.68,Won,Tom Walsh,Mid-Market,Mining,2023,Q3,Sep
T0120,2023-09-11,C012,Delta Aerospace,West,Software,Cloud Storage 1TB,1,380,18.7,71.06,308.94,308.94,45,45,85.43,Won,David Evans,Enterprise,Aerospace,2023,Q3,Sep
T0121,2023-09-11,C012,Delta Aerospace,West,Hardware,Network Switch,10,950,22.58,2145.1,735.49,7354.9,540,5400,26.58,Lost,David Evans,Enterprise,Aerospace,2023,Q3,Sep
T0122,2023-09-15,C014,Quantum Devices,North,Software,Security Suite,1,3200,3.97,127.04,3072.96,3072.96,280,280,90.89,Won,Sarah Chen,Enterprise,Technology,2023,Q3,Sep
T0123,2023-09-17,C002,Horizon Tech,East,Software,ERP Module,2,12000,0.0,0.0,12000.0,24000.0,1200,2400,90.0,Won,Priya Sharma,Enterprise,Technology,2023,Q3,Sep
T0124,2023-09-19,C020,Polar Biotech,East,Software,Analytics Suite,1,4500,10.72,482.4,4017.6,4017.6,500,500,87.55,Lost,Aisha Patel,Enterprise,Healthcare,2023,Q3,Sep
T0125,2023-09-20,C005,Cascade Retail,South,Software,BI Dashboard,10,5500,7.61,4185.5,5081.45,50814.5,500,5000,90.16,Won,James Okafor,Mid-Market,Retail,2023,Q3,Sep
T0126,2023-09-24,C005,Cascade Retail,South,Software,Mobile Device Mgmt,10,2800,4.78,1338.4,2666.16,26661.6,250,2500,90.62,Won,James Okafor,Mid-Market,Retail,2023,Q3,Sep
T0127,2023-09-27,C011,Pinnacle Consulting,North,Hardware,Laptop Pro,2,1200,14.94,358.56,1020.72,2041.44,800,1600,21.62,Pending,Emily Foster,Mid-Market,Professional Svcs,2023,Q3,Sep
T0128,2023-09-29,C011,Pinnacle Consulting,North,Software,Analytics Suite,1,4500,25.9,1165.5,3334.5,3334.5,500,500,85.01,Won,Emily Foster,Mid-Market,Professional Svcs,2023,Q3,Sep
T0129,2023-09-29,C008,Orion Pharma,East,Software,Security Suite,3,3200,13.11,1258.56,2780.48,8341.44,280,840,89.93,Won,Aisha Patel,Enterprise,Healthcare,2023,Q3,Sep
T0130,2023-09-30,C019,Coastline Hotels,West,Furniture,Desk Pro,2,420,3.53,29.66,405.17,810.34,180,360,55.57,Won,Tom Walsh,Mid-Market,Hospitality,2023,Q3,Sep
T0131,2023-10-01,C006,Nimbus Financial,East,Software,ERP Module,3,12000,5.09,1832.4,11389.2,34167.6,1200,3600,89.46,Won,Priya Sharma,Enterprise,Financial Services,2023,Q4,Oct
T0132,2023-10-01,C018,Ember Analytics,North,Software,Mobile Device Mgmt,1,2800,20.54,575.12,2224.88,2224.88,250,250,88.76,Pending,Emily Foster,SMB,Technology,2023,Q4,Oct
T0133,2023-10-04,C003,Meridian Health,North,Software,Security Suite,1,3200,5.07,162.24,3037.76,3037.76,280,280,90.78,Won,Sarah Chen,Enterprise,Healthcare,2023,Q4,Oct
T0134,2023-10-04,C015,Redwood Construction,South,Hardware,Headset Pro,1,220,2.02,4.44,215.56,215.56,120,120,44.33,Pending,Marco Ruiz,SMB,Construction,2023,Q4,Oct
T0135,2023-10-05,C015,Redwood Construction,South,Furniture,Desk Pro,2,420,7.95,66.78,386.61,773.22,180,360,53.44,Lost,Marco Ruiz,SMB,Construction,2023,Q4,Oct
T0136,2023-10-06,C017,Granite Automotive,West,Hardware,Server Rack,2,6200,24.78,3072.72,4663.64,9327.28,4100,8200,12.09,Won,David Evans,Enterprise,Automotive,2023,Q4,Oct
T0137,2023-10-07,C004,Solaris Energy,West,Software,CRM Platform,1,8500,4.38,372.3,8127.7,8127.7,600,600,92.62,Lost,Tom Walsh,Mid-Market,Energy,2023,Q4,Oct
T0138,2023-10-09,C010,Stratos Media,North,Services,Training Package,1,1800,30.46,548.28,1251.72,1251.72,400,400,68.04,Won,Emily Foster,SMB,Media,2023,Q4,Oct
T0139,2023-10-11,C015,Redwood Construction,South,Software,CRM Platform,2,8500,3.59,610.3,8194.85,16389.7,600,1200,92.68,Lost,Marco Ruiz,SMB,Construction,2023,Q4,Oct
T0140,2023-10-12,C013,Harbor Insurance,East,Software,ERP Module,2,12000,4.52,1084.8,11457.6,22915.2,1200,2400,89.53,Pending,Aisha Patel,Enterprise,Financial Services,2023,Q4,Oct
